Date,city,Consumption_GWh,temperature_2m_max,temperature_2m_mean,temperature_2m_min,apparent_temperature_max,apparent_temperature_mean,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,precipitation_hours,weather_code,wind_speed_10m_max,wind_gusts_10m_max,et0_fao_evapotranspiration
1/1/2023,abudhabi,185.96,24.3,22,20.7,22.9,20.9,19.3,0,0,0,0,0,2,25.3,40.3,3.94
1/2/2023,abudhabi,178.34,24.7,21.9,18.8,24.6,22.2,19.3,0,0,0,0,0,1,19.2,32.4,3.28
1/3/2023,abudhabi,187.77,23.2,21.5,18.6,21.4,20.2,17.6,0,0,0,0,0,3,31.4,47.2,3.71
1/4/2023,abudhabi,198.28,24.2,21,18.6,23.2,20.1,16.8,0.1,0.1,0,0,1,51,17.7,28.1,3.2
1/5/2023,abudhabi,177.19,27.4,22.6,18.6,25.3,21.1,15.8,0.6,0.6,0,0,1,53,26.4,42.1,4.34
1/6/2023,abudhabi,177.19,25.5,22,20.1,24.5,20.8,17.5,0.8,0.8,0,0,2,53,33.2,47.9,3.85
1/7/2023,abudhabi,198.95,22.3,20.5,19.1,22.4,19.8,18.4,0.6,0.6,0,0,3,51,27.7,40,2.41
1/8/2023,abudhabi,189.21,22.9,20.5,17.9,22.9,20.2,18.9,0,0,0,0,0,3,21.2,32.8,3.11
1/9/2023,abudhabi,174.37,22.9,20.7,18.2,23,20.6,18.2,0,0,0,0,0,1,15.5,26.6,3.28
1/10/2023,abudhabi,186.51,28.6,21.8,18.6,25.9,20.5,17.9,0,0,0,0,0,3,34.6,52.6,3.97
1/11/2023,abudhabi,174.44,22.6,21.2,20.1,19.9,18.8,17.5,0,0,0,0,0,3,29,46.1,4.35
1/12/2023,abudhabi,174.41,23.1,21,19.6,20.9,18.3,16.3,0,0,0,0,0,3,30,43.9,4.78
1/13/2023,abudhabi,182.9,23.4,19.8,17.5,20.4,16.8,14.1,0,0,0,0,0,3,28.2,42.8,4.55
1/14/2023,abudhabi,157.04,23.8,20.4,17.2,21.4,17.9,14,0,0,0,0,0,1,25.5,39.2,4.58
1/15/2023,abudhabi,159.3,25.4,20.9,17.5,23.7,19.9,16.2,0,0,0,0,0,3,19.7,34.6,3.79
1/16/2023,abudhabi,173.25,24.5,21,17.3,24.7,21.5,18,0,0,0,0,0,3,16.5,29.9,3.19
1/17/2023,abudhabi,167.85,29,22.5,18.3,29.2,22.9,18.7,0,0,0,0,0,3,19,32,3.54
1/18/2023,abudhabi,183.77,22.6,21.4,20.3,22.3,19,16.9,0,0,0,0,0,3,31.7,46.8,4.26
1/19/2023,abudhabi,169.1,22,20.7,19.5,18.8,17.7,16.2,0,0,0,0,0,3,31.7,44.3,4.56
1/20/2023,abudhabi,163.05,23.3,20.1,16.5,21.7,18.7,15.6,0,0,0,0,0,0,21.2,34.9,3.96
1/21/2023,abudhabi,197.59,22.9,19.8,16.4,22.2,18.4,15,0,0,0,0,0,0,18.8,28.8,3.94
1/22/2023,abudhabi,177.29,24.3,20.1,15.9,21.5,18.3,14.5,0,0,0,0,0,1,23.6,39.6,4.25
1/23/2023,abudhabi,180.81,21.4,19.1,16.5,20.7,18,14.5,0,0,0,0,0,3,16.8,23.8,2.78
1/24/2023,abudhabi,162.9,23.4,19.7,16.2,23.4,18.6,14.6,0,0,0,0,0,1,21.1,31.3,3.8
1/25/2023,abudhabi,173.47,23.4,19.1,17.2,22.1,16.7,13.8,8.9,8.9,0,0,5,65,31.8,49.3,3.96
1/26/2023,abudhabi,181.33,20.3,17.8,16.2,18,16,14.4,19.4,19.4,0,0,18,63,32.6,48.6,2.15
1/27/2023,abudhabi,166.19,20.4,18.1,16,19.6,16.8,13.8,2.2,2.2,0,0,12,53,27.1,41.4,2.34
1/28/2023,abudhabi,184.51,20.1,18.2,16.8,17.9,15.8,13.7,0.8,0.8,0,0,6,51,28.5,40,3.57
1/29/2023,abudhabi,172.79,20.6,18.5,15.9,19.8,16.8,13.6,0,0,0,0,0,1,24.7,33.1,3.78
1/30/2023,abudhabi,176.5,20.6,18,15.3,22.2,18.2,14.6,0,0,0,0,0,2,12,21.2,2.88
1/31/2023,abudhabi,172.78,24.7,18.8,15.1,22.6,18.2,14.6,0,0,0,0,0,3,24.2,37.4,3.38
2/1/2023,abudhabi,202.23,24.7,19.8,16.4,22.2,18.2,13.7,0,0,0,0,0,0,29.4,46.1,3.85
2/2/2023,abudhabi,179.84,26.3,21,16.9,25.7,20.2,14.4,0,0,0,0,0,0,23.5,38.5,3.93
2/3/2023,abudhabi,167.31,23.7,20.6,17.8,25.8,21.7,18.2,0,0,0,0,0,1,17.6,29.5,3.14
2/4/2023,abudhabi,189.87,21.6,20.2,18.6,21.3,19.3,18.3,0,0,0,0,0,3,21.4,36.7,3.71
2/5/2023,abudhabi,165.35,22.1,19.8,17.6,22.6,19.9,17.5,0,0,0,0,0,0,16.8,31,3.23
2/6/2023,abudhabi,182.51,24.6,20.5,17.8,25.7,21.5,18.9,0,0,0,0,0,3,13.4,23.4,3.23
